time,thrust
0.0005,0.0
0.001,0.0
0.0015,0.0
0.002,0.0
0.0025,0.0
0.003,0.0
0.0035,0.0
0.004,0.0
0.0045000000000000005,0.0
0.005000000000000001,47.991877450828866
0.005500000000000001,48.32316017788731
0.006000000000000002,50.30473858573731
0.006500000000000002,53.653126831555824
0.007000000000000003,58.180657337030155
0.007500000000000003,63.75499721557073
0.008000000000000004,70.2755534744467
0.008500000000000004,77.6600535927774
0.009000000000000005,85.8371419723013
0.009500000000000005,94.74245323724638
0.010000000000000005,104.31663492928041
0.010500000000000006,114.50441666614718
0.011000000000000006,125.25420451249241
0.011500000000000007,136.51790969378482
0.012000000000000007,148.25085747908227
0.012500000000000008,160.41170121298384
0.013000000000000008,172.96231071402195
0.013500000000000009,185.86762766615928
0.014000000000000009,199.0954919161041
0.01450000000000001,212.61644706327462
0.01500000000000001,226.40353457731817
0.01550000000000001,240.43208476607717
0.01600000000000001,254.67951130123015
0.01650000000000001,269.1251142577489
0.01700000000000001,283.74989501723024
0.017500000000000012,298.536385040142
0.018000000000000013,313.4684894545932
0.018500000000000013,328.53134562077656
0.019000000000000013,343.71119627256877
0.019500000000000014,358.9952764673257
0.020000000000000014,374.3717133499226
0.020500000000000015,389.8294376210365
0.021000000000000015,405.3581055621936
0.021500000000000016,420.94803048709616
0.022000000000000016,436.590122541527
0.022500000000000017,452.275835848726
0.023000000000000017,467.99712208331766
0.023500000000000017,483.7463896474093
0.024000000000000018,499.516467712409
0.02450000000000002,515.3005744762208
0.02500000000000002,531.0922890657693
0.02550000000000002,546.8855265882545
0.02600000000000002,562.6745159007029
0.02650000000000002,578.4537797262867
0.02700000000000002,594.2181167978227
0.02750000000000002,609.9625857542862
0.02800000000000002,625.6824905556653
0.028500000000000022,641.3733672155913
0.029000000000000022,657.0309716805439
0.029500000000000023,672.6512687095804
0.030000000000000023,688.2304216300332
0.030500000000000024,703.764782862916
0.031000000000000024,719.2508851273518
0.03150000000000002,734.6854332465319
0.03200000000000002,750.0652964889057
0.03250000000000002,765.3875013877706
0.03300000000000002,780.6492249904428
0.03350000000000002,795.8477884949674
0.03400000000000002,810.9806512380495
0.034500000000000024,826.0454050027342
0.035000000000000024,841.0397686184741
0.035500000000000025,855.9615828296858
0.036000000000000025,870.808805411855
0.036500000000000025,885.5795065167481
0.037000000000000026,900.2718642304258
0.037500000000000026,914.884160329574
0.03800000000000003,929.4147762232196
0.03850000000000003,943.8621890682388
0.03900000000000003,958.2249680482151
0.03950000000000003,972.5017708061966
0.04000000000000003,986.6913400227562
0.04050000000000003,1000.7925001315239
0.04100000000000003,1014.8041541649935
0.04150000000000003,1028.7252807240004
0.04200000000000003,1042.5549310647584
0.04250000000000003,1056.2922262978025
0.04300000000000003,1069.936354693577
0.04350000000000003,1083.4865690897675
0.04400000000000003,1096.9421843957987
0.04450000000000003,1110.302575190194
0.04500000000000003,1123.5671734067816
0.045500000000000033,1136.7354661059364
0.046000000000000034,1149.8069933272866
0.046500000000000034,1162.7813460205082
0.047000000000000035,1175.658164051002
0.047500000000000035,1188.4371342774336
0.048000000000000036,1201.1179886982559
0.048500000000000036,1213.700502664485
0.04900000000000004,1226.1844931561432
0.04950000000000004,1238.5698171198899
0.05000000000000004,1250.8563698654907
0.05050000000000004,1263.0440835188858
0.05100000000000004,1275.1329255297148
0.05150000000000004,1287.1228972312513
